date,description,amount
2024-01-01,UPI/ZOMATO/ZOMATO PAYMENTS,450.00
2024-01-02,UPI/PAYTM/PAYTM PAYMENTS,1200.00
2024-01-03,DEBIT CARD/AMAZON/AMAZON PAY,3500.00
2024-01-04,NET BANKING/BSNL MOBILE RECHARGE,299.00
2024-01-05,UPI/UBER/UBER INDIA,280.00
2024-01-06,DEBIT CARD/BIG BAZAAR/GROCERY,1850.00
2024-01-07,UPI/SWIGGY/SWIGGY FOOD,650.00
2024-01-08,NET BANKING/ELECTRICITY BILL/BSES,2200.00
2024-01-09,UPI/OLA/OLA CABS,320.00
2024-01-10,DEBIT CARD/FLIPKART/FLIPKART SHOPPING,4500.00
2024-01-11,UPI/STARBUCKS/COFFEE,250.00
2024-01-12,NET BANKING/WATER BILL/DJB,850.00
2024-01-13,UPI/ZOMATO/ZOMATO FOOD,380.00
2024-01-14,DEBIT CARD/METRO STATION/AUTOMATIC RECHARGE,500.00
2024-01-15,UPI/PAYTM/PAYTM MALL,1200.00
2024-01-16,NET BANKING/GAS BILL/INDANE,650.00
2024-01-17,UPI/UBER EATS/UBER EATS,520.00
2024-01-18,DEBIT CARD/APOLLO PHARMACY/MEDICINE,1200.00
2024-01-19,UPI/NETFLIX/NETFLIX SUBSCRIPTION,499.00
2024-01-20,NET BANKING/INTERNET BILL/AIRTEL,799.00
2024-01-21,UPI/MCDONALDS/FAST FOOD,350.00
2024-01-22,DEBIT CARD/RELIANCE FRESH/GROCERY,2100.00
2024-01-23,UPI/BOOKMYSHOW/MOVIE TICKETS,600.00
2024-01-24,NET BANKING/CREDIT CARD PAYMENT/HDFC,15000.00
2024-01-25,UPI/SPOTIFY/SPOTIFY PREMIUM,99.00
2024-01-26,DEBIT CARD/HP PETROL PUMP/FUEL,2500.00
2024-01-27,UPI/ZOMATO/ZOMATO FOOD,420.00
2024-01-28,NET BANKING/INSURANCE PREMIUM/LIC,5000.00
2024-01-29,UPI/AMAZON PRIME/AMAZON PRIME,149.00
2024-01-30,DEBIT CARD/MYNTRA/FASHION SHOPPING,3200.00
2024-01-31,UPI/PAYTM/PAYTM RECHARGE,500.00
2024-02-01,NET BANKING/SALARY CREDIT/COMPANY,75000.00
2024-02-02,UPI/ZOMATO/ZOMATO FOOD,550.00
2024-02-03,DEBIT CARD/AMAZON/AMAZON SHOPPING,2800.00
2024-02-04,UPI/UBER/UBER RIDE,180.00
2024-02-05,NET BANKING/ELECTRICITY BILL/BSES,2100.00
2024-02-06,DEBIT CARD/D MART/GROCERY SHOPPING,3200.00
2024-02-07,UPI/SWIGGY/SWIGGY FOOD,480.00
2024-02-08,UPI/OLA/OLA AUTO,120.00
2024-02-09,NET BANKING/INTERNET BILL/JIO,999.00
2024-02-10,DEBIT CARD/FLIPKART/FLIPKART SHOPPING,5500.00
2024-02-11,UPI/PAYTM/PAYTM PAYMENTS,800.00
2024-02-12,NET BANKING/WATER BILL/DJB,750.00
2024-02-13,UPI/ZOMATO/ZOMATO FOOD,620.00
2024-02-14,DEBIT CARD/AMAZON/AMAZON PAY,4200.00
2024-02-15,UPI/BOOKMYSHOW/MOVIE TICKETS,800.00
2024-02-16,NET BANKING/GAS BILL/HP GAS,680.00
2024-02-17,UPI/UBER EATS/UBER EATS,450.00
2024-02-18,DEBIT CARD/RELIANCE DIGITAL/ELECTRONICS,15000.00
2024-02-19,UPI/NETFLIX/NETFLIX SUBSCRIPTION,499.00
2024-02-20,NET BANKING/MOBILE RECHARGE/VODAFONE,299.00
2024-02-21,UPI/STARBUCKS/COFFEE,320.00
2024-02-22,DEBIT CARD/HP PETROL PUMP/FUEL,2200.00
2024-02-23,UPI/ZOMATO/ZOMATO FOOD,380.00
2024-02-24,NET BANKING/CREDIT CARD PAYMENT/ICICI,12000.00
2024-02-25,UPI/SPOTIFY/SPOTIFY PREMIUM,99.00
2024-02-26,DEBIT CARD/APOLLO PHARMACY/MEDICINE,850.00
2024-02-27,UPI/PAYTM/PAYTM MALL,1500.00
2024-02-28,NET BANKING/INSURANCE PREMIUM/HDFC LIFE,3500.00
2024-02-29,UPI/AMAZON PRIME/AMAZON PRIME,149.00
2024-03-01,DEBIT CARD/BIG BAZAAR/GROCERY,1950.00
2024-03-02,UPI/UBER/UBER RIDE,250.00
2024-03-03,NET BANKING/ELECTRICITY BILL/BSES,2300.00
2024-03-04,UPI/SWIGGY/SWIGGY FOOD,720.00
2024-03-05,DEBIT CARD/FLIPKART/FLIPKART SHOPPING,3800.00
2024-03-06,UPI/OLA/OLA CABS,350.00
2024-03-07,NET BANKING/INTERNET BILL/AIRTEL,799.00
2024-03-08,DEBIT CARD/METRO STATION/AUTOMATIC RECHARGE,500.00
2024-03-09,UPI/ZOMATO/ZOMATO FOOD,550.00
2024-03-10,NET BANKING/WATER BILL/DJB,900.00
2024-03-11,DEBIT CARD/AMAZON/AMAZON SHOPPING,5200.00
2024-03-12,UPI/PAYTM/PAYTM PAYMENTS,1100.00
2024-03-13,NET BANKING/GAS BILL/INDANE,720.00
2024-03-14,UPI/BOOKMYSHOW/MOVIE TICKETS,1000.00
2024-03-15,DEBIT CARD/D MART/GROCERY SHOPPING,2800.00
2024-03-16,UPI/UBER EATS/UBER EATS,580.00
2024-03-17,NET BANKING/MOBILE RECHARGE/JIO,299.00
2024-03-18,DEBIT CARD/MYNTRA/FASHION SHOPPING,4500.00
2024-03-19,UPI/NETFLIX/NETFLIX SUBSCRIPTION,499.00
2024-03-20,UPI/STARBUCKS/COFFEE,280.00
2024-03-21,NET BANKING/CREDIT CARD PAYMENT/HDFC,18000.00
2024-03-22,DEBIT CARD/HP PETROL PUMP/FUEL,3000.00
2024-03-23,UPI/ZOMATO/ZOMATO FOOD,480.00
2024-03-24,NET BANKING/INSURANCE PREMIUM/LIC,5000.00
2024-03-25,UPI/SPOTIFY/SPOTIFY PREMIUM,99.00
2024-03-26,DEBIT CARD/RELIANCE FRESH/GROCERY,2400.00
2024-03-27,UPI/PAYTM/PAYTM MALL,1800.00
2024-03-28,NET BANKING/ELECTRICITY BILL/BSES,2500.00
2024-03-29,UPI/AMAZON PRIME/AMAZON PRIME,149.00
2024-03-30,DEBIT CARD/APOLLO PHARMACY/MEDICINE,1500.00
2024-03-31,UPI/UBER/UBER RIDE,320.00

